	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
HIT 5330	421.744778391901	130.633840833398	111.488501183574	1146.7272435487	145.430154085755	42.9128555954541	394.296271377676	39.564909787177	2318.37322829625	1207.88789932812	116.389429163228	2093.68474860295	41.3531929670544	37.6320460962235	52.0369563737205	42.39629415556	88.6588869133824	49.6882779257697	654.376723726064	306.871628539456
HIT 5332	47.2423365075488	99.2156632388329	1215.52997561943	51.6911217615478	382.034371748275	44.0606545250127	41.0459480433927	38.8756257156733	84.50571164235	42.2111758594318	53.4374855259175	71.4391733845692	37.9237982433816	36.2176243411244	44.4081954859269	45.417355259367	120.544625577797	47.0247735718425	43.5900092328663	61.5843559400906
HIT 5333	37.5701800385455	37.1314618457974	77.3462686685476	46.1055942705095	44.19450673771	42.4776184900087	36.4104576061013	35.4842102020328	45.7596507741442	44.5575926610931	44.7358644854325	36.6295211584778	36.2560179502465	36.2152228944757	42.9375516288401	41.1327683566066	66.0253339229846	37.3943608461446	39.4485268174973	43.6986595131494
HIT 5335	36.3865280646714	36.5333390207198	53.501519366395	42.3702030156595	53.9002054266498	47.6507521367059	36.2832283001844	35.0326503799235	45.4447462120141	40.5927399552314	47.4919308024609	34.0732237195658	42.5201055547614	35.9438717112114	43.4931827771388	42.7111747049211	72.8347541121529	41.0898282335959	36.4179599937012	39.5667638487581
HIT 5336	166.62264898219	168.558559593059	80.5292891003196	49.3076299117793	49.2122696075628	45.5691460048414	59.1360851533099	36.7286694911852	397.208109226613	53.782884119616	47.405601770383	452.665260104476	37.4181389491962	35.8129673011227	43.3356020053772	46.339818916677	74.7444183442441	38.9959399267762	38.6370046109922	251.646349639159
HIT 5337	61.0690841579096	64.8091035826421	68.8858914979222	53.4436843209931	53.5710469439094	44.9152010437007	56.5381749799035	37.687913578059	520.031715947709	54.6249779211961	55.7408223477317	433.496234536007	40.034171424604	38.3447644074592	48.9426946450074	44.6348235730426	67.0549108771083	39.3210560254082	41.8113777908981	68.6807814020468
HIT 5339	36.7466441837015	36.2638916635453	54.3882838208622	43.981590878282	46.2955925609055	41.1283852454332	36.1865373949512	35.9549432683918	48.1776731743283	39.4562317028689	42.6498638675701	36.4185760614467	37.2244880882181	35.8848140160012	43.7742484283845	43.3835813354863	67.5131808833471	39.1278156426972	37.2368091452118	39.9869203114969
HIT 5340	47.1041974283494	55.1451873988585	102.024115706846	394.006270085334	53.4404934906669	43.1174328996971	61.8623341162321	36.6615954955336	54.2169110766214	64.8783124900874	68.0241459191268	76.247009499164	44.50748338926	35.5427085748229	42.8800998757869	49.158638076404	81.8400907528716	40.6484324785171	43.6908270663277	92.6211327243915
HIT 5342	8345.41409313149	985.077707700399	8081.02317090343	8009.40501355257	3039.60089187741	63.1911412995837	14856.1568341993	12798.6994497548	513.425084619822	6937.97430476078	9367.57496943345	2817.76711307759	52.5456472157251	37.0626936233319	45.1981319859468	41.8133414923789	6284.23803745946	6653.1153293634	2796.99587294007	6020.25686380665
HIT 5343	8223.84896203569	3738.04162334713	26744.0710782183	10318.9869028145	6231.59092999484	60.1805386777154	19075.0534278012	14765.477661575	1922.42059677153	145.364538673993	14410.2123705255	3416.53832729292	45.1763584658977	39.6621774114256	45.5509648884261	176.32186222152	7682.77243454961	5349.11344276541	4511.87275183235	204.403324269913
HIT 5344	52.0167813920179	37.4580477588905	60.6478551710559	314.174512881225	50.3801405508342	44.4888419540252	404.290116559533	649.682910507664	46.6514465088678	42.2260916424079	90.1379795099886	55.190147134026	36.653264551322	35.7678888840279	46.2140979727302	41.2297300573096	121.747378193376	61.4153639572247	52.1261123628411	46.0862458005088
HIT 5345	36.4142808307601	36.2067724088561	56.8602492745204	391.832132879932	47.864533452222	41.9438429106824	571.594676805941	124.629818836403	42.5395730111505	41.5792564615098	109.090341079391	65.8957834307701	42.1263730915757	38.0249049016319	39.6079273375783	41.4803006094365	123.104912582656	59.3008289097505	43.2448730171548	39.0650322888907
HIT 5346	297.591895162032	56.1826217085426	137.285342619204	1459.96542431178	52.2979468401886	41.9986678419651	1220.22091863632	479.972855227626	56.507041087683	55.4179726495898	599.200188017158	133.376774330037	43.6125633771795	37.2279968084131	44.6449673743781	40.202334482928	579.558959774564	147.064211182502	110.566645216218	85.3253966615445
